"DW_TCKT_KEY","FDR_NUM","TRBL_TCKT_NUM","GRN_TCKT_FLAG","IRPT_TYPE_CODE","TCKT_TYPE_CODE","SUPT_CODE","IRPT_CAUS_CODE","EQP_CODE","CMI","POWEROFF","POWERRESTORE","RPR_ACTN_TYPE","RPR_ACTN_SUB_TYPE","RPR_ACTN_DS","A_PHAS_INVOLVED","B_PHAS_INVOLVED","C_PHAS_INVOLVED","TCKT_DVC_COOR","REPAIRACTIONCREATETIME","REPAIREDACTIONSTATEPLANEX","REPAIREDACTIONSTATEPLANEY","CRNT_ROW_FLAG"
"11065395","806739","1","N","TX","TX","66","188","94","6492","10-31-2016 23:53:00","11-01-2016 08:54:00","TMRepairActionWrapperTransformer","Transformer","Replaced Transformer","","","","87468150908","11-01-2016 01:25:59","927437","591367","Y","11/1/2016 12:03:00 AM"
"11065395","806739","1","N","TX","TX","66","188","94","6492","10-31-2016 23:53:00","11-01-2016 08:54:00","TMRepairActionEnvironmentalFollowUp","General","Environmental FollowUp","","","","87468150908","11-17-2016 10:05:31","927437","591367","Y","11/1/2016 12:03:00 AM"
"11065395","806739","1","N","TX","TX","66","188","94","6492","10-31-2016 23:53:00","11-01-2016 08:54:00","TMRepairActionAccessable","General","See Comments","","","","87468150908","11-01-2016 01:26:23","927437","591367","Y","11/1/2016 12:03:00 AM"
"11065395","806739","1","N","TX","TX","66","188","94","6492","10-31-2016 23:53:00","11-01-2016 08:54:00","TMRepairActionReworkedConnections","General","Reworked Connections","","","","87468150908","11-01-2016 01:25:59","927437","591367","Y","11/1/2016 12:03:00 AM"
"11065510","703035","2","N","SV","SNC","192","202","91","22","11-01-2016 01:42:00","11-01-2016 02:04:00","TMRepairActionReworkedConnections","General","Reworked Connections at Weatherhead","","","","87378510801","11-01-2016 02:39:19","923598","640688","Y","11/1/2016 12:13:00 AM"
"11065503","700842","7","N","TX","TX","0","190","0","201","11-01-2016 00:25:00","11-01-2016 01:32:00","TMRepairActionRefuseTransformer","General","Refuse standard A ph TX","","","","87170513601","11-01-2016 02:07:58","913885","602306","Y","11/1/2016 12:38:00 AM"
"11065564","501763","8","Y","FDR","FDR","67","41","198","5139","11-01-2016 00:40:00","11-01-2016 00:43:00","","","","","","","55306674634","","347505","783639","Y","11/1/2016 12:41:00 AM"
"11065570","802431","9","N","SV","SNC","310","188","91","8","11-01-2016 09:07:00","11-01-2016 09:15:00","TMRepairActionReplaceJumper","General","Replace Jumper 2QUAD SVC","N","N","N","86649856905","11-01-2016 01:26:47","890836","498706","Y","11/1/2016 12:42:00 AM"
"11065638","401934","12","Y","TX","TXU","403","195","94","404","11-01-2016 01:29:00","11-01-2016 03:10:00","","","","","","","68003741903","","959998","766121","Y","11/1/2016 1:29:00 AM"
"11065450","506768","13","Y","TX","TXU","405","195","94","143","11-01-2016 01:39:00","11-01-2016 04:02:00","TMRepairActionRefuseTransformer","General","Refuse standard C ph TX","","","","76594488800","11-01-2016 09:33:57","406129","725322","Y","11/1/2016 1:34:00 AM"
"11065449","707462","14","Y","TX","TXU","405","195","94","178","11-01-2016 02:04:00","11-01-2016 03:33:00","","","","","","","86380694003","","874574","652145","Y","11/1/2016 1:58:00 AM"
"11065583","411234","15","N","SV","SNCU","301","189","111","52","11-01-2016 02:05:00","11-01-2016 02:57:00","TMRepairActionRepairConductor","General","Repair 1/0A SVC","N","N","N","68033515006","11-01-2016 03:19:33","958801","917790","Y","11/1/2016 2:07:00 AM"
"11065583","411234","15","N","SV","SNCU","301","189","111","52","11-01-2016 02:05:00","11-01-2016 02:57:00","TMRepairActionRemovePowerTemp","General","Remove Powertemp","","","","68033515006","11-01-2016 03:19:33","958801","917790","Y","11/1/2016 2:07:00 AM"
"11065583","411234","15","N","SV","SNCU","301","189","111","52","11-01-2016 02:05:00","11-01-2016 02:57:00","TMRepairActionSetPowerTemp","General","Set Powertemp #jp","","","","68033515006","11-01-2016 03:19:33","958801","917790","Y","11/1/2016 2:07:00 AM"
"11065583","411234","15","N","SV","SNCU","301","189","111","52","11-01-2016 02:05:00","11-01-2016 02:57:00","TMRepairActionReworkedConnections","General","Reworked Connections","","","","68033515006","11-01-2016 03:19:33","958801","917790","Y","11/1/2016 2:07:00 AM"
"11065582","500538","16","Y","TX","TXU","0","193","0","115","11-01-2016 02:44:00","11-01-2016 04:39:00","","","","","","","51563810409","","160432","1067895","Y","11/1/2016 2:29:00 AM"
"11065466","503632","17","Y","TX","TXU","407","195","94","1105","11-01-2016 02:36:00","11-01-2016 03:41:00","TMRepairActionWrapperTransformer","Transformer","Replaced Transformer","","","","55610666700","11-01-2016 09:30:39","362655","804591","Y","11/1/2016 2:33:00 AM"
"11065580","500162","18","Y","TX","TXU","407","195","94","246","11-01-2016 03:23:00","11-01-2016 05:26:00","","","","","","","50970307607","","128388","1107101","Y","11/1/2016 2:57:00 AM"
"11065467","809936","23","N","TX","TX","0","20","0","164","11-01-2016 03:49:00","11-01-2016 04:30:00","TMRepairActionTrimTree","General","Trim/Remove Tree 3   10% Palms:  R/O","","","","87153879406","11-01-2016 04:56:49","916812","520083","Y","11/1/2016 3:57:00 AM"
"11065632","804937","24","N","LAT","LATU","23","189","111","3372","11-01-2016 04:08:00","11-01-2016 05:21:00","TMRepairActionSpliceConductor","General","Splice 1/0A A PRI","Y","N","N","87768051513W","11-01-2016 06:40:27","942026","591889","Y","11/1/2016 4:08:00 AM"
"11065632","804937","24","N","LAT","LATU","23","189","111","3372","11-01-2016 04:08:00","11-01-2016 05:21:00","TMRepairActionRefuseLateral","General","Refuse A Lateral","","","","87768051513W","11-01-2016 05:39:26","942026","591889","Y","11/1/2016 4:08:00 AM"
"11065364","505264","25","N","TX","TX","0","11","0","574","11-01-2016 04:07:00","11-01-2016 05:29:00","TMRepairActionRefuseTransformer","General","Refuse standard C ph TX","","","","51282580800","11-01-2016 09:31:23","144866","1163582","Y","11/1/2016 4:17:00 AM"
"11065489","408764","26","N","TX","LATU","0","189","94","2849","11-01-2016 04:29:00","11-01-2016 11:16:00","TMRepairActionWrapperTransformer","Transformer","Replaced Transformer","","","","65967764302","11-01-2016 08:18:33","854916","1087320","Y","11/1/2016 4:39:00 AM"
"11065371","411561","27","N","TX","TX","0","11","0","187","11-01-2016 05:10:00","11-01-2016 08:17:00","TMRepairActionRefuseTransformer","General","Refuse standard A ph TX","","","","48502104703","11-01-2016 08:26:53","781625","1263270","Y","11/1/2016 5:10:00 AM"
"11065488","407166","28","Y","TX","LATU","401","195","94","710","11-01-2016 05:22:00","11-01-2016 07:44:00","","","","","","","66655427619","","888413","1029100","Y","11/1/2016 5:22:00 AM"
"11065362","406334","30","N","LAT","LAT","0","20","0","354","11-01-2016 05:22:00","11-01-2016 07:20:00","TMRepairActionRefuseLateral","General","Refuse C Lateral","","","","67826587607","11-01-2016 07:41:10","949151","883953","Y","11/1/2016 5:24:00 AM"
"11065598","405763","31","Y","TX","TX","401","195","94","702","11-01-2016 05:28:00","11-01-2016 07:25:00","","","","","","","49403152409","","827645","1266590","Y","11/1/2016 5:29:00 AM"
"11065384","703533","36","N","TX","TXU","66","188","91","3948","11-01-2016 10:03:00","11-01-2016 13:11:00","","","","","","","87993239101","","951220","720012","Y","11/1/2016 7:03:00 AM"
"11065372","501432","37","N","SV","SNC","0","202","91","68","11-01-2016 07:01:00","11-01-2016 08:09:00","TMRepairActionReworkedConnections","General","Reworked Connections at Weatherhead","","","","55960150507","11-01-2016 08:30:27","376948","1051210","Y","11/1/2016 7:04:00 AM"
"11065792","508463","47","N","TX","SNC","0","9","0","458","11-01-2016 06:56:00","11-01-2016 10:45:00","TMRepairActionRefuseTransformer","General","Refuse standard C ph TX","","","","56616864501","11-01-2016 10:50:51","413854","833057","Y","11/1/2016 7:18:00 AM"
