"DW_TCKT_KEY","FDR_NUM","TRBL_TCKT_NUM","GRN_TCKT_FLAG","IRPT_TYPE_CODE","TCKT_TYPE_CODE","SUPT_CODE","IRPT_CAUS_CODE","EQP_CODE","CMI","POWEROFF","POWERRESTORE","RPR_ACTN_TYPE","RPR_ACTN_SUB_TYPE","RPR_ACTN_DS","A_PHAS_INVOLVED","B_PHAS_INVOLVED","C_PHAS_INVOLVED","TCKT_DVC_COOR","REPAIRACTIONCREATETIME","REPAIREDACTIONSTATEPLANEX","REPAIREDACTIONSTATEPLANEY","CRNT_ROW_FLAG"
"11065482","410463","51","N","TX","TX","0","7","0","345","11-01-2016 07:19:00","11-01-2016 09:14:00","TMRepairActionRefuseTransformer","General","Refuse standard B ph TX","","","","65864743209","11-01-2016 09:27:47","849970","1071839","Y","11/1/2016 7:28:00 AM"
"11065509","508161","52","N","LAT","LATU","0","188","88","9082","11-01-2016 07:37:00","11-01-2016 11:36:00","","","","","","","52060025006W","","181632","1055226","Y","11/1/2016 7:32:00 AM"
"11065369","505564","53","N","LAT","LATU","66","188","93","6902","11-01-2016 07:38:00","11-01-2016 11:36:00","TMRepairActionReplaceJumper","General","Replace Jumper 4C B PRI","N","Y","N","51960542104","11-01-2016 08:11:12","178980","1053796","Y","11/1/2016 7:33:00 AM"
"11065785","810064","54","N","TX","SNC","0","20","0","157","11-01-2016 07:33:00","11-01-2016 10:10:00","TMRepairActionRefuseTransformer","General","Refuse standard C ph TX","","","","85237210801","11-01-2016 10:13:44","817258","435813","Y","11/1/2016 7:33:00 AM"
"11065785","810064","54","N","TX","SNC","0","20","0","157","11-01-2016 07:33:00","11-01-2016 10:10:00","TMRepairActionTrimTree","General","Trim/Remove Tree 1   0% Palms:  R/O","","","","85237210801","11-01-2016 10:13:44","817258","435813","Y","11/1/2016 7:33:00 AM"
"11065785","810064","54","N","TX","SNC","0","20","0","157","11-01-2016 07:33:00","11-01-2016 10:10:00","TMRepairActionPickupVegetationDebris","General","Pick Up Vegetation Debris","","","","85237210801","11-01-2016 10:13:44","817258","435813","Y","11/1/2016 7:33:00 AM"
"11065508","805835","56","N","LAT","LAT","0","190","0","1545","11-01-2016 07:37:00","11-01-2016 09:20:00","TMRepairActionRefuseLateral","General","Refuse B Lateral","","","","86243048804","11-01-2016 09:38:24","866448","469684","Y","11/1/2016 7:39:00 AM"
"11065475","400661","64","N","TX","TX","0","20","0","1635","11-01-2016 07:46:00","11-01-2016 13:13:00","TMRepairActionTrimTree","General","Trim/Remove Tree 1   0% Palms:","","","","65098624509","11-01-2016 13:32:48","809739","1242736","Y","11/1/2016 7:55:00 AM"
"11065831","805036","65","N","TX","TX","66","7","91","376","11-01-2016 07:46:00","11-01-2016 09:20:00","TMRepairActionReworkedConnections","General","Reworked Connections at Pole","","","","86749579900","11-01-2016 09:38:55","894774","500289","Y","11/1/2016 7:55:00 AM"
"11065378","407461","61","N","TX","TX","0","7","0","573","11-01-2016 07:43:00","11-01-2016 10:54:00","TMRepairActionRefuseTransformer","General","Refuse standard A ph TX","","","","65984932102","11-01-2016 11:07:16","855711","1171257","Y","11/1/2016 7:55:00 AM"
"11065475","400661","64","N","TX","TX","0","20","0","1635","11-01-2016 07:46:00","11-01-2016 13:13:00","TMRepairActionTrimTree","General","Trim/Remove Tree 15   0% Palms:  R/O","","","","65098624509","11-01-2016 13:32:48","809739","1242736","Y","11/1/2016 7:55:00 AM"
"11065475","400661","64","N","TX","TX","0","20","0","1635","11-01-2016 07:46:00","11-01-2016 13:13:00","TMRepairActionRefuseTransformer","General","Refuse standard B ph TX","","","","65098624509","11-01-2016 13:32:48","809739","1242736","Y","11/1/2016 7:55:00 AM"
"11065831","805036","65","N","TX","TX","66","7","91","376","11-01-2016 07:46:00","11-01-2016 09:20:00","TMRepairActionReworkedConnections","General","Reworked Connections at Meter","","","","86749579900","11-01-2016 09:38:55","894774","500289","Y","11/1/2016 7:55:00 AM"
"11065831","805036","65","N","TX","TX","66","7","91","376","11-01-2016 07:46:00","11-01-2016 09:20:00","TMRepairActionReworkedConnections","General","Reworked Connections at Tx","","","","86749579900","11-01-2016 09:38:55","894774","500289","Y","11/1/2016 7:55:00 AM"
"11065859","800734","67","N","SV","SNC","66","197","105","138","11-01-2016 10:37:00","11-01-2016 12:55:00","TMRepairActionReplaceConductor","General","Replace 80 ft 4TPX SVC","N","N","N","86659838403","11-01-2016 09:11:20","890724","549331","Y","11/1/2016 7:59:00 AM"
"11065768","500665","69","N","TX","SNCU","0","11","0","121","11-01-2016 07:59:00","11-01-2016 10:00:00","","","","","","","50777724801","","120574","1140667","Y","11/1/2016 8:00:00 AM"
"11065776","800740","70","N","SV","SNC","66","188","91","64","11-01-2016 13:41:00","11-01-2016 14:45:00","TMRepairActionSpliceConductor","General","Splice 1/0TPX SVC","N","N","N","86759182506","11-01-2016 09:13:53","892521","546351","Y","11/1/2016 8:01:00 AM"
"11065776","800740","70","N","SV","SNC","66","188","91","64","11-01-2016 13:41:00","11-01-2016 14:45:00","TMRepairActionReplaceJumper","General","Replace Jumper 1/0TPX SVC","N","N","N","86759182506","11-01-2016 09:13:53","892521","546351","Y","11/1/2016 8:01:00 AM"
"11065872","102131","72","N","TX","LAT","66","188","93","1090","11-01-2016 08:38:00","11-01-2016 17:43:00","","","","","","","45190825101","","615222","1702895","Y","11/1/2016 8:03:00 AM"
"11065770","703531","74","N","TX","TX","310","21","91","396","11-01-2016 08:03:00","11-01-2016 09:42:00","","","","","","","87994703308","","953570","722258","Y","11/1/2016 8:04:00 AM"
"11065888","700443","76","N","SV","SNC","310","188","102","83","11-01-2016 12:58:00","11-01-2016 14:21:00","TMRepairActionReplaceConductor","General","Replace 80 ft 4TPX SVC","N","N","N","87684296501","11-01-2016 09:11:22","937185","673692","Y","11/1/2016 8:10:00 AM"
"11065784","100832","81","N","TX","TX","0","197","0","378","11-01-2016 08:05:00","11-01-2016 08:47:00","TMRepairActionRefuseTransformer","General","Refuse standard B ph TX","","","","46298556504","11-01-2016 08:53:29","669143","1743571","Y","11/1/2016 8:15:00 AM"
"11065837","407461","84","Y","TX","TX","403","195","0","350","11-01-2016 08:49:00","11-01-2016 09:39:00","","","","","","","65883521402","","848818","1165870","Y","11/1/2016 8:18:00 AM"
"11065969","202232","91","N","LAT","LAT","0","197","0","30940","11-01-2016 08:25:00","11-01-2016 11:15:00","TMRepairActionPickupVegetationDebris","General","Pick Up Vegetation Debris","","","","46966366502","11-01-2016 09:34:08","702795","1582281","Y","11/1/2016 8:26:00 AM"
"11065969","202232","91","N","LAT","LAT","0","197","0","30940","11-01-2016 08:25:00","11-01-2016 11:15:00","TMRepairActionTrimTree","General","Trim/Remove Tree 2   0% Palms:","","","","46966366502","11-01-2016 09:34:08","702795","1582281","Y","11/1/2016 8:26:00 AM"
"11065857","101538","89","N","SV","SNC","310","14","104","280","11-01-2016 08:20:00","11-01-2016 13:00:00","TMRepairActionReplaceConductor","General","Replace 125 ft 6DPX SVC","N","N","N","37402326402","11-01-2016 10:12:28","627703","1763747","Y","11/1/2016 8:26:00 AM"
"11065965","200531","93","Y","TX","TX","406","195","0","672","11-01-2016 08:29:00","11-01-2016 10:05:00","TMRepairActionRefuseTransformer","General","Refuse standard B ph TX","","","","48522041707","11-01-2016 10:33:33","781360","1361949","Y","11/1/2016 8:29:00 AM"
"11065964","806534","97","N","SEC","SNC","311","188","105","130","11-01-2016 17:20:00","11-01-2016 19:30:00","TMRepairActionOpenNeutral","General","Open Neutral","","","","86445434902","11-01-2016 16:56:29","878392","477665","Y","11/1/2016 8:32:00 AM"
"11065474","106361","96","N","TX","SNC","0","188","85","346","11-01-2016 07:46:00","11-01-2016 10:39:00","TMRepairActionRefuseLateral","General","Refuse C Lateral","","","","35622718405","11-01-2016 10:48:04","539702","1865163","Y","11/1/2016 8:32:00 AM"
"11065474","106361","96","N","TX","SNC","0","188","85","346","11-01-2016 07:46:00","11-01-2016 10:39:00","TMRepairActionRefuseLateral","General","Refuse A Lateral","","","","35622718405","11-01-2016 10:48:04","539702","1865163","Y","11/1/2016 8:32:00 AM"
"11065964","806534","97","N","SEC","SNC","311","188","105","130","11-01-2016 17:20:00","11-01-2016 19:30:00","TMRepairActionTrimTree","General","Trim/Remove Tree 4   50% Palms:  R/O","","","","86445434902","11-01-2016 16:52:11","878392","477665","Y","11/1/2016 8:32:00 AM"
"11065474","106361","96","N","TX","SNC","0","188","85","346","11-01-2016 07:46:00","11-01-2016 10:39:00","TMRepairActionRefuseTransformer","General","Refuse standard A ph TX","","","","35622718405","11-01-2016 11:03:33","539702","1865163","Y","11/1/2016 8:32:00 AM"
"11065988","505662","101","N","TX","SNC","0","25","0","416","11-01-2016 08:26:00","11-01-2016 11:54:00","TMRepairActionRefuseTransformer","General","Refuse standard B ph TX","","","","52936985007","11-01-2016 12:02:50","230151","934918","Y","11/1/2016 8:36:00 AM"
"11065988","505662","101","N","TX","SNC","0","25","0","416","11-01-2016 08:26:00","11-01-2016 11:54:00","TMRepairActionTrimTree","General","Trim/Remove Tree 1   0% Palms:  R/O","","","","52936985007","11-01-2016 12:02:50","230151","934918","Y","11/1/2016 8:36:00 AM"
"11065622","505963","102","N","TX","SNC","0","20","0","160","11-01-2016 08:32:00","11-01-2016 09:52:00","TMRepairActionTrimTree","General","Trim/Remove Tree 1   0% Palms:","","","","56248403409","11-01-2016 10:15:30","392746","992670","Y","11/1/2016 8:36:00 AM"
"11065622","505963","102","N","TX","SNC","0","20","0","160","11-01-2016 08:32:00","11-01-2016 09:52:00","TMRepairActionRefuseTransformer","General","Refuse standard C ph TX","","","","56248403409","11-01-2016 10:15:30","392746","992670","Y","11/1/2016 8:36:00 AM"
"11065988","505662","101","N","TX","SNC","0","25","0","416","11-01-2016 08:26:00","11-01-2016 11:54:00","TMRepairActionTrimTree","General","Trim/Remove Tree 1   0% Palms:","","","","52936985007","11-01-2016 12:02:50","230151","934918","Y","11/1/2016 8:36:00 AM"
"11065775","809762","104","Y","TX","TXU","0","193","115","72","11-01-2016 08:37:00","11-01-2016 08:45:00","","","","","","","85853760002","","849988","514801","Y","11/1/2016 8:37:00 AM"
"11065642","811361","112","N","SEC","SNC","192","11","0","139","11-01-2016 08:41:00","11-01-2016 11:00:00","TMRepairActionRefuseTransformer","General","Refuse standard C ph TX","","","","84833654102","11-01-2016 11:02:12","800478","417924","Y","11/1/2016 8:44:00 AM"
"11065880","106362","114","N","TX","SNC","0","7","0","342","11-01-2016 08:32:00","11-01-2016 11:23:00","TMRepairActionRefuseTransformer","General","Refuse standard B ph TX","","","","36526466302","11-01-2016 11:29:14","583285","1884126","Y","11/1/2016 8:45:00 AM"
"11065878","700444","115","Y","TX","TX","405","195","102","1005","11-01-2016 08:46:00","11-01-2016 14:21:00","","","","","","","87683316796","","937278","668779","Y","11/1/2016 8:46:00 AM"
"11065718","502631","118","N","TX","SNC","0","25","0","322","11-01-2016 08:39:00","11-01-2016 11:20:00","TMRepairActionRefuseTransformer","General","Refuse standard C ph TX","","","","55715206501","11-01-2016 11:25:43","365495","829434","Y","11/1/2016 8:47:00 AM"
"11065716","411561","124","Y","TX","TX","405","195","125","92","11-01-2016 08:48:00","11-01-2016 10:20:00","","","","","","","64699485806","","788964","1248585","Y","11/1/2016 8:48:00 AM"
"11065696","506165","119","Y","TX","TXU","403","193","0","244","11-01-2016 08:47:00","11-01-2016 10:49:00","TMRepairActionRefuseTransformer","General","Refuse standard B ph TX","","","","55910684401","11-01-2016 11:15:59","377758","803284","Y","11/1/2016 8:48:00 AM"
"11065836","100131","122","Y","TX","TX","401","195","102","1122","11-01-2016 08:57:00","11-01-2016 10:39:00","","","","","","","37805224107","","647317","1777559","Y","11/1/2016 8:48:00 AM"
"11065696","506165","119","Y","TX","TXU","403","193","0","244","11-01-2016 08:47:00","11-01-2016 10:49:00","TMRepairActionRefuseTransformer","General","Refuse standard B ph TX","","","","55910684401","11-02-2016 08:36:51","377758","803284","Y","11/1/2016 8:48:00 AM"
"11065879","501064","126","N","SEC","SNCU","0","190","0","161","11-01-2016 11:15:00","11-01-2016 13:56:00","TMRepairActionRemoveGroundStrap","General","Remove Groundstrap","","","","52168905305","11-01-2016 13:25:40","190784","1095249","Y","11/1/2016 8:49:00 AM"
"11065879","501064","126","N","SEC","SNCU","0","190","0","161","11-01-2016 11:15:00","11-01-2016 13:56:00","TMRepairActionRunGroundstrap","General","Run Groundstrap","","","","52168905305","11-01-2016 13:25:40","190784","1095249","Y","11/1/2016 8:49:00 AM"
"11065879","501064","126","N","SEC","SNCU","0","190","0","161","11-01-2016 11:15:00","11-01-2016 13:56:00","TMRepairActionAccessable","General","See Comments","","","","52168905305","11-01-2016 13:25:40","190784","1095249","Y","11/1/2016 8:49:00 AM"
"11065983","806935","127","N","TX","TX","0","25","0","679","11-01-2016 08:40:00","11-01-2016 10:17:00","TMRepairActionReworkedConnections","General","Reworked Connections at Tx","","","","86652936701","11-01-2016 10:35:40","891378","513401","Y","11/1/2016 8:49:00 AM"
"11065983","806935","127","N","TX","TX","0","25","0","679","11-01-2016 08:40:00","11-01-2016 10:17:00","TMRepairActionReworkedConnections","General","Reworked Connections at Meter","","","","86652936701","11-01-2016 10:35:40","891378","513401","Y","11/1/2016 8:49:00 AM"
"11065983","806935","127","N","TX","TX","0","25","0","679","11-01-2016 08:40:00","11-01-2016 10:17:00","TMRepairActionReworkedConnections","General","Reworked Connections at Pole","","","","86652936701","11-01-2016 10:35:40","891378","513401","Y","11/1/2016 8:49:00 AM"
"11065659","702638","128","N","SV","NLS","66","202","91","90","11-01-2016 18:40:00","11-01-2016 20:10:00","TMRepairActionReworkedConnections","General","Reworked Connections","","","","87788055204","11-01-2016 16:26:17","940686","693015","Y","11/1/2016 8:51:00 AM"
"11065659","702638","128","N","SV","NLS","66","202","91","90","11-01-2016 18:40:00","11-01-2016 20:10:00","TMRepairActionTrimTree","General","Trim/Remove Tree 1   0% Palms:","","","","87788055204","11-01-2016 16:21:50","940686","693015","Y","11/1/2016 8:51:00 AM"
"11065725","500635","129","Y","TX","TXU","66","193","94","330","11-01-2016 08:51:00","11-01-2016 09:21:00","","","","","","","51176287006","","138274","1136529","Y","11/1/2016 8:51:00 AM"
"11065987","403034","134","N","TX","TX","0","7","0","170","11-01-2016 08:51:00","11-01-2016 10:16:00","","","","","","","67721085605","","941694","858053","Y","11/1/2016 8:53:00 AM"
"11065984","401938","133","Y","TX","TX","401","195","81","994","11-01-2016 08:53:00","11-01-2016 11:15:00","","","","","","","68005446909","","958435","778643","Y","11/1/2016 8:53:00 AM"
"11065986","500538","137","Y","TX","TX","67","195","81","544","11-01-2016 08:55:00","11-01-2016 11:11:00","","","","","","","51662956203","","166097","1065746","Y","11/1/2016 8:55:00 AM"
"11065919","801035","140","N","TX","TX","66","20","102","3624","11-01-2016 08:58:00","11-01-2016 14:00:00","TMRepairActionRefuseTransformer","General","Refuse standard B ph TX","","","","87762298207","11-01-2016 11:51:58","943493","565179","Y","11/1/2016 8:58:00 AM"
"11065919","801035","140","N","TX","TX","66","20","102","3624","11-01-2016 08:58:00","11-01-2016 14:00:00","TMRepairActionTrimTree","General","Trim/Remove Tree 5   5% Palms:  R/O","","","","87762298207","11-01-2016 11:49:57","943493","565179","Y","11/1/2016 8:58:00 AM"
"11065920","806931","142","Y","TX","TX","192","193","94","336","11-01-2016 09:00:00","11-01-2016 10:24:00","","","","","","","86652041704","","886769","510794","Y","11/1/2016 9:00:00 AM"
"11065794","802432","143","N","TX","TX","0","20","88","20","11-01-2016 09:00:00","11-01-2016 09:10:00","TMRepairActionWrapperTransformer","Transformer","Replaced Transformer","","","","86650380706","11-01-2016 13:12:17","888591","500136","Y","11/1/2016 9:00:00 AM"
"11065794","802432","143","N","TX","TX","0","20","88","20","11-01-2016 09:00:00","11-01-2016 09:10:00","TMRepairActionTrimTree","General","Trim/Remove Tree 3   0% Palms:  R/O","","","","86650380706","11-01-2016 13:12:17","888591","500136","Y","11/1/2016 9:00:00 AM"
"11065932","506769","144","Y","TX","TXU","401","195","94","1246","11-01-2016 09:00:00","11-01-2016 11:58:00","TMRepairActionRefuseTransformer","General","Refuse standard C ph TX","","","","76491322601","11-01-2016 12:26:39","400244","707139","Y","11/1/2016 9:00:00 AM"
"11065794","802432","143","N","TX","TX","0","20","88","20","11-01-2016 09:00:00","11-01-2016 09:10:00","TMRepairActionPickupVegetationDebris","General","Pick Up Vegetation Debris","","","","86650380706","11-01-2016 13:12:17","888591","500136","Y","11/1/2016 9:00:00 AM"
"11065996","202537","150","N","LAT","LATU","0","7","0","3243","11-01-2016 08:58:00","11-01-2016 10:32:00","TMRepairActionRefuseLateral","General","Refuse C Lateral","","","","48126628009","11-01-2016 10:42:26","763997","1384937","Y","11/1/2016 9:06:00 AM"
"11065996","202537","150","N","LAT","LATU","0","7","0","3243","11-01-2016 08:58:00","11-01-2016 10:32:00","TMRepairActionRefuseLateral","General","Refuse B Lateral","","","","48126628009","11-01-2016 10:42:26","763997","1384937","Y","11/1/2016 9:06:00 AM"
"11066030","505264","153","Y","TX","TXU","66","193","94","69","11-01-2016 09:09:00","11-01-2016 10:18:00","","","","","","","51182611707","","140022","1163936","Y","11/1/2016 9:09:00 AM"
"11066032","108432","157","N","TX","SNCU","0","7","0","27","11-01-2016 09:10:00","11-01-2016 09:37:00","TMRepairActionRefuseLateral","General","Refuse C Lateral","","","","34233974301","11-01-2016 09:46:43","136","136","Y","11/1/2016 9:11:00 AM"
"11066032","108432","157","N","TX","SNCU","0","7","0","27","11-01-2016 09:10:00","11-01-2016 09:37:00","TMRepairActionRefuseLateral","General","Refuse C Lateral","","","","34233974301","11-01-2016 09:46:43","106","106","Y","11/1/2016 9:11:00 AM"
"11066032","108432","157","N","TX","SNCU","0","7","0","27","11-01-2016 09:10:00","11-01-2016 09:37:00","TMRepairActionRefuseLateral","General","Refuse C Lateral","","","","34233974301","11-01-2016 09:46:43","471022","1918357","Y","11/1/2016 9:11:00 AM"
"11066035","201133","159","Y","LAT","LATU","405","195","0","2033","11-01-2016 09:13:00","11-01-2016 11:00:00","","","","","","","48631074009","","786009","1408281","Y","11/1/2016 9:13:00 AM"
"11066026","202232","165","Y","FDR","FDR","66","194","104","2920","11-01-2016 09:14:00","11-01-2016 09:16:00","","","","","","","46965451913","","703193","1574972","Y","11/1/2016 9:16:00 AM"
"11066255","504061","171","Y","TX","LATU","401","195","102","153","11-01-2016 09:02:00","11-01-2016 11:35:00","TMRepairActionRefuseLateral","General","Refuse B Lateral","","","","76876596005","11-02-2016 08:44:58","421202","633365","Y","11/1/2016 9:19:00 AM"
"11066255","504061","171","Y","TX","LATU","401","195","102","153","11-01-2016 09:02:00","11-01-2016 11:35:00","TMRepairActionRefuseLateral","General","Refuse C Lateral","","","","76876596005","11-02-2016 08:44:58","421202","633365","Y","11/1/2016 9:19:00 AM"
"11066255","504061","171","Y","TX","LATU","401","195","102","153","11-01-2016 09:02:00","11-01-2016 11:35:00","TMRepairActionRefuseLateral","General","Refuse A Lateral","","","","76876596005","11-02-2016 08:44:58","421202","633365","Y","11/1/2016 9:19:00 AM"
"11066011","807434","175","Y","TX","TX","192","193","94","720","11-01-2016 09:21:00","11-01-2016 10:41:00","","","","","","","85952623409","","854508","511645","Y","11/1/2016 9:21:00 AM"
"11065516","507662","178","Y","TX","TXU","401","195","94","1350","11-01-2016 09:22:00","11-01-2016 11:52:00","TMRepairActionRefuseTransformer","General","Refuse standard B ph TX","","","","55709584001","11-01-2016 11:59:13","367173","798216","Y","11/1/2016 9:22:00 AM"
"11065495","402831","180","Y","TX","TX","401","195","102","2289","11-01-2016 09:24:00","11-01-2016 14:51:00","","","","","","","67913092505","","951753","816413","Y","11/1/2016 9:24:00 AM"
"11066037","806535","182","Y","TX","TX","401","195","94","148","11-01-2016 09:25:00","11-01-2016 11:53:00","","","","","","","86647461202","","888578","485740","Y","11/1/2016 9:25:00 AM"
