"DW_TCKT_KEY","FDR_NUM","TRBL_TCKT_NUM","GRN_TCKT_FLAG","IRPT_TYPE_CODE","TCKT_TYPE_CODE","SUPT_CODE","IRPT_CAUS_CODE","EQP_CODE","CMI","POWEROFF","POWERRESTORE","RPR_ACTN_TYPE","RPR_ACTN_SUB_TYPE","RPR_ACTN_DS","A_PHAS_INVOLVED","B_PHAS_INVOLVED","C_PHAS_INVOLVED","TCKT_DVC_COOR","REPAIRACTIONCREATETIME","REPAIREDACTIONSTATEPLANEX","REPAIREDACTIONSTATEPLANEY","CRNT_ROW_FLAG"
"11135381","307761","2","N","LAT","TXU","0","197","0","1436","01-01-2017 00:10:00","01-01-2017 06:09:00","TMRepairActionSpliceConductor","General","Splice 1/0A A PRI","Y","N","N","14609399504","01-01-2017 02:02:32","488195","2299816","Y","1/1/2017 12:16:00 AM"
"11135431","802232","4","N","LAT","LAT","310","188","104","4040","01-01-2017 00:11:00","01-01-2017 03:33:00","TMRepairActionSpliceConductor","General","Splice 6C  PRI","N","N","N","87060461600","01-01-2017 02:07:27","908896","551072","Y","1/1/2017 12:19:00 AM"
"11135378","803432","6","N","TX","TX","66","188","91","4268","01-01-2017 00:13:00","01-01-2017 06:41:00","TMRepairActionSpliceConductor","General","Splice  Conductor","N","N","N","87260054709","01-01-2017 02:25:29","917378","552995","Y","1/1/2017 12:22:00 AM"
"11135378","803432","6","N","TX","TX","66","188","91","4268","01-01-2017 00:13:00","01-01-2017 06:41:00","TMRepairActionSpliceConductor","General","Splice 6C NEU","N","N","N","87260054709","01-01-2017 02:25:29","917378","552995","Y","1/1/2017 12:22:00 AM"
"11135460","806934","7","N","LAT","LAT","310","20","104","6247","01-01-2017 00:21:00","01-01-2017 07:09:00","TMRepairActionTrimTree","General","Trim/Remove Tree 15   0% Palms:  R/O","","","","86651088715","01-01-2017 02:16:59","886976","509323","Y","1/1/2017 12:23:00 AM"
"11135460","806934","7","N","LAT","LAT","310","20","104","6247","01-01-2017 00:21:00","01-01-2017 07:09:00","TMRepairActionPickupVegetationDebris","General","Pick Up Vegetation Debris","","","","86651088715","01-01-2017 02:16:59","886976","509323","Y","1/1/2017 12:23:00 AM"
"11135460","806934","7","N","LAT","LAT","310","20","104","6247","01-01-2017 00:21:00","01-01-2017 07:09:00","TMRepairActionSpliceConductor","General","Splice 4C SEC","N","N","N","86651088715","01-01-2017 02:16:59","886976","509323","Y","1/1/2017 12:23:00 AM"
"11135460","806934","7","N","LAT","LAT","310","20","104","6247","01-01-2017 00:21:00","01-01-2017 07:09:00","TMRepairActionRefuseTransformer","General","Refuse standard A ph TX","","","","86651088715","01-01-2017 02:22:53","886976","509323","Y","1/1/2017 12:23:00 AM"
"11135460","806934","7","N","LAT","LAT","310","20","104","6247","01-01-2017 00:21:00","01-01-2017 07:09:00","TMRepairActionRefuseLateral","General","Refuse A Lateral","","","","86651088715","01-01-2017 02:16:59","886976","509323","Y","1/1/2017 12:23:00 AM"
"11135652","400536","9","N","TX","TX","66","202","91","60","01-01-2017 03:10:00","01-01-2017 03:16:00","TMRepairActionReworkedConnections","General","Reworked Connections","","","","68109121506","01-01-2017 02:07:17","961859","796008","Y","1/1/2017 12:42:00 AM"
"11135652","400536","9","N","TX","TX","66","202","91","60","01-01-2017 03:10:00","01-01-2017 03:16:00","TMRepairActionAccessable","General","See Comments","","","","68109121506","01-01-2017 02:07:17","961859","796008","Y","1/1/2017 12:42:00 AM"
"11135386","100832","10","N","SV","NLS","66","188","91","206","01-01-2017 00:41:00","01-01-2017 04:07:00","TMRepairActionReplaceJumper","General","Replace Jumper 1/0TPX SVC","N","N","N","46298449309","01-01-2017 02:25:43","668458","1745124","Y","1/1/2017 12:46:00 AM"
"11135432","800334","17","N","SEC","SNC","66","188","91","81","01-01-2017 08:13:00","01-01-2017 09:34:00","TMRepairActionSpliceConductor","General","Splice 1/0TPX SEC","N","N","N","87257306212","01-01-2017 08:34:08","918797","538482","Y","1/1/2017 1:39:00 AM"
"11135432","800334","17","N","SEC","SNC","66","188","91","81","01-01-2017 08:13:00","01-01-2017 09:34:00","TMRepairActionReplaceConductor","General","Replace 3 ft 1/0TPX SEC","N","N","N","87257306212","01-01-2017 08:34:08","918797","538482","Y","1/1/2017 1:39:00 AM"
"11135369","200263","18","N","LAT","LAT","0","190","0","3600","01-01-2017 01:38:00","01-01-2017 04:58:00","TMRepairActionReplaceConductor","General","Replace 10 ft 6C C PRI","N","N","Y","44573099002","01-01-2017 02:36:36","582153","1618880","Y","1/1/2017 1:42:00 AM"
"11135369","200263","18","N","LAT","LAT","0","190","0","3600","01-01-2017 01:38:00","01-01-2017 04:58:00","TMRepairActionSpliceConductor","General","Splice 6C C PRI","N","N","Y","44573099002","01-01-2017 02:36:36","582153","1618880","Y","1/1/2017 1:42:00 AM"
"11135417","400139","22","N","MTR","SNCU","0","189","160","47","01-01-2017 01:51:00","01-01-2017 02:38:00","TMRepairActionReplaceMeter","Meter","Replace Meter","","","","68122816229","01-01-2017 03:12:18","965283","863331","Y","1/1/2017 1:52:00 AM"
"11135417","400139","22","N","MTR","SNCU","0","189","160","47","01-01-2017 01:51:00","01-01-2017 02:38:00","TMRepairActionReworkedConnections","General","Reworked Connections at Meter","","","","68122816229","01-01-2017 03:12:18","965283","863331","Y","1/1/2017 1:52:00 AM"
"11135418","810264","26","N","LAT","LAT","66","40","80","10010","01-01-2017 02:20:00","01-01-2017 03:30:00","TMRepairActionRefuseLateral","General","Refuse A Lateral","","","","86054110801","01-01-2017 03:49:56","856752","520370","Y","1/1/2017 2:20:00 AM"
"11135418","810264","26","N","LAT","LAT","66","40","80","10010","01-01-2017 02:20:00","01-01-2017 03:30:00","TMRepairActionAccessable","General","See Comments","","","","86054110801","01-01-2017 06:10:20","856752","520370","Y","1/1/2017 2:20:00 AM"
"11135407","704561","25","N","SEC","SNCU","301","189","111","160","01-01-2017 04:31:00","01-01-2017 07:11:00","TMRepairActionRemovePowerTemp","General","Remove Powertemp","","","","87088289704","01-01-2017 04:49:59","906873","694745","Y","1/1/2017 2:20:00 AM"
"11135407","704561","25","N","SEC","SNCU","301","189","111","160","01-01-2017 04:31:00","01-01-2017 07:11:00","TMRepairActionSetPowerTemp","General","Set Powertemp #pm","","","","87088289704","01-01-2017 04:49:59","906873","694745","Y","1/1/2017 2:20:00 AM"
"11135407","704561","25","N","SEC","SNCU","301","189","111","160","01-01-2017 04:31:00","01-01-2017 07:11:00","TMRepairActionSpliceConductor","General","Splice 4/0A SVC","N","N","N","87088289704","01-01-2017 04:47:36","906873","694745","Y","1/1/2017 2:20:00 AM"
"11135445","704134","27","Y","FDR","FDR","413","188","92","45088","01-01-2017 02:20:00","01-01-2017 03:00:00","TMRepairActionReplaceSwitch","General","Replace 13 KV switch","","","","87571691301","01-01-2017 03:47:15","934762","606121","Y","1/1/2017 2:22:00 AM"
